ID,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,COUNTY
840,Brokered by Corcoran West Side Gallery,Condo for sale,1395000,2,2,1793.0,"253 W 73rd St #4f, New York, NY 10023, USA",40.780245,-73.9827963,New York County
841,Brokered by Brown Harris Stevens - 129 Montague Street,Co-op for sale,800000,2,2,2184.207862,"3442 80th St Apt 32, Jackson Heights, NY 11372, USA",40.7535399,-73.8868899,Queens County
842,Brokered by RE MAX Edge,Co-op for sale,499000,2,1,686.0,"430 W 46th St #5a, New York, NY 10036, USA",40.7615546,-73.9923686,New York County
843,Brokered by Douglas Elliman - 575 Madison Ave,House for sale,1625000,4,4,2743.0,"269 W 87th St #7a, New York, NY 10024, USA",40.7895034,-73.9769713,New York County
844,Brokered by Skylight Real Estate Consultan,House for sale,799999,3,3,1444.0,"106-10 217th St, Jamaica, NY 11429, USA",40.7110987,-73.741186,Queens County
845,Brokered by Better Homes and Gardens Real Estate Safari Realty,House for sale,1139000,4,4,3150.0,"950 Huguenot Ave, Staten Island, NY 10312, USA",40.5308796,-74.1913113,Richmond County
846,Brokered by DEBTFREESOLUTIONS LLC,House for sale,529000,3,2,1650.0,"401 Harding Park, Bronx, NY 10473, USA",40.8061399,-73.8579944,Bronx County
847,Brokered by ROBERT DEFALCO REALTY INC,Co-op for sale,300000,3,1,1200.0,"2741 E 28th St #4d, Brooklyn, NY 11235, USA",40.5862693,-73.9407123,Kings County
848,Brokered by Han Tang Realty Inc.,Multi-family home for sale,869000,6,3,1526.0,"1032 Rhinelander Ave, Bronx, NY 10461, USA",40.8505252,-73.856443,Bronx County
849,Brokered by Today Realty Corp.,House for sale,749000,3,2,1480.0,"1238 Pinchot Pl, Bronx, NY 10461, USA",40.8534458,-73.8484651,Bronx County
850,Brokered by Re/Max In The City,Co-op for sale,240900,2,1,875.0,"2390 Palisade Ave #4c, Bronx, NY 10463, USA",40.8797408,-73.9204193,Bronx County
851,Brokered by Winzone Realty Inc,House for sale,1295000,3,1,2184.207862,"47-17 39th Ave, Long Island City, NY 11104, USA",40.7493551,-73.9158547,Queens County
852,Brokered by Ideal Properties Realty,Pending,3850000,8,6,6200.0,"1121 E 22nd St, Brooklyn, NY 11210, USA",40.62481,-73.9539607,Kings County
853,Brokered by RE MAX Real Estate Professionals,House for sale,549000,5,2,1716.0,"921 Nugent Ave, Staten Island, NY 10306, USA",40.5721728,-74.0972787,Richmond County
854,Brokered by Houlihan Lawrence,Co-op for sale,129000,1,1,750.0,"4315 Webster Ave #3j, Bronx, NY 10470, USA",40.8995193,-73.8623678,Bronx County
855,"Brokered by Homes R Us Realty of NY, Inc.",House for sale,475000,3,2,900.0,"131 Roff St, Staten Island, NY 10304, USA",40.6158816,-74.0822185,Richmond County
856,Brokered by Century 21 Realty First,Multi-family home for sale,980000,4,3,1408.0,"1957 Ryder St, Brooklyn, NY 11234, USA",40.611841,-73.92961,Kings County
857,Brokered by RE MAX Edge,Multi-family home for sale,1199000,4,2,1824.0,"1511 85th St, Brooklyn, NY 11228, USA",40.6119254,-74.0084031,Kings County
858,Brokered by Keller Williams Legendary,Townhouse for sale,1299999,5,5,3134.0,"6414 Beach Front Rd, Far Rockaway, NY 11692, USA",40.5883339,-73.7934039,Queens County
859,Brokered by RE MAX Distinguished Homes & Properties,Co-op for sale,265000,2,1,1100.0,"1750 E 14th St Apt 4e, Brooklyn, NY 11229, USA",40.6068092,-73.9590334,Kings County
860,Brokered by Keller Williams NYC,Co-op for sale,262500,1,1,2184.207862,"750 Kappock St Apt 502, Bronx, NY 10463, USA",40.8819467,-73.9200169,Bronx County
861,"Brokered by Robert Defalco Realty, Inc.",House for sale,2699000,7,6,11250.0,"100 Wadsworth Rd, Staten Island, NY 10305, USA",40.6087694,-74.0597773,Richmond County
862,Brokered by Today Realty Corp.,House for sale,1200000,4,4,3300.0,"2217 Gunther Ave, Bronx, NY 10469, USA",40.8580056,-73.8365535,Bronx County
863,Brokered by COMPASS,Co-op for sale,850000,1,1,2184.207862,"32 Downing St #2b, New York, NY 10014, USA",40.729293,-74.003447,New York County
864,"Brokered by Robert Defalco Realty, Inc.",House for sale,2699000,7,6,11250.0,"100 Wadsworth Rd, Staten Island, NY 10305, USA",40.6087694,-74.0597773,Richmond County
865,Brokered by Encore Real Estate LLC,House for sale,989000,6,4,2720.0,"153 Johnson Ave, Staten Island, NY 10307, USA",40.5119454,-74.2470716,Richmond County
866,Brokered by Today Realty Corp.,House for sale,1200000,4,4,3300.0,"2217 Gunther Ave, Bronx, NY 10469, USA",40.8580056,-73.8365535,Bronx County
867,Brokered by CENTURY 21 Galvez,Multi-family home for sale,899999,5,3,1800.0,"263 W 254th St, Bronx, NY 10471, USA",40.9016185,-73.8999396,Bronx County
868,Brokered by United Realty Associates,House for sale,2780000,5,6,3045.0,"150-32 Sullivan Dr, Whitestone, NY 11357, USA",40.7967438,-73.8160751,Queens County
869,Brokered by COMPASS,Co-op for sale,999000,2,1,1050.0,"215 W 92nd St #5b, New York, NY 10025, USA",40.7921116,-73.9731768,New York County
870,Brokered by Our Community Realty Ltd,Multi-family home for sale,699000,6,2,2184.207862,"1441 Troy Ave, Brooklyn, NY 11203, USA",40.6373525,-73.9344092,Kings County
871,Brokered by COMPASS,Condo for sale,60000,3,1,445.0,"2 E 55th St 809 35, New York, NY 10022, USA",40.7613979,-73.9746128,New York County
872,Brokered by Premier Homes Pros,House for sale,499999,4,2,1248.0,"44 Montell St, Staten Island, NY 10302, USA",40.6289462,-74.1388487,Richmond County
873,Brokered by Momentum Real Estate Llc,House for sale,599999,3,2,1272.0,"67 Reynolds St, Staten Island, NY 10305, USA",40.6111849,-74.0753235,Richmond County
874,Brokered by RE MAX Elite,House for sale,725000,4,2,2000.0,"328 Manor Rd, Staten Island, NY 10314, USA",40.6199521,-74.1237895,Richmond County
875,"Brokered by BEN BAY REALTY CO OF BAY RIDGE, LLC",House for sale,998888,3,2,1780.0,"9954 Fort Hamilton Pkwy, Brooklyn, NY 11209, USA",40.6117545,-74.0323281,Kings County
876,Brokered by RE MAX Edge,Multi-family home for sale,980000,3,4,2700.0,"1 Opal Ct, Brooklyn, NY 11229, USA",40.586018,-73.9252126,Kings County
877,Brokered by Sold By Bart R E Partners Inc,House for sale,800000,3,2,2184.207862,"69-10 Penelope Ave, Flushing, NY 11379, USA",40.71593,-73.8858453,Queens County
878,Brokered by CENTURY 21 Marciano,House for sale,1299000,3,4,4450.0,"610 City Island Ave, Bronx, NY 10464, USA",40.854862,-73.7906694,Bronx County
879,Brokered by Madison Estates Sotheby's International Realty,House for sale,799000,3,2,1128.0,"1557 E 34th St, Brooklyn, NY 11234, USA",40.6169213,-73.9415274,Kings County
880,Brokered by Elite Real Estate Group 1 Llc,House for sale,995000,3,2,3080.0,"1870 Haight Ave, Bronx, NY 10461, USA",40.8513854,-73.854324,Bronx County
881,Brokered by Ashford Homes LLC,House for sale,1250000,5,3,2295.0,"1923 66th St, Brooklyn, NY 11204, USA",40.617019,-73.9878352,Kings County
882,Brokered by Tiffany Moves You Inc,Multi-family home for sale,1275000,3,4,2184.207862,"43-2 Orient Ave, Douglaston, NY 11363, USA",40.7675169,-73.7439734,Queens County
883,Brokered by YourHomeSold Guarantee Realty,Multi-family home for sale,749999,6,3,3150.0,"1817 Amethyst St, Bronx, NY 10462, USA",40.8453955,-73.868163,Bronx County
884,Brokered by Serhant,Townhouse for sale,2650000,5,4,4100.0,"259 New York Ave, Brooklyn, NY 11216, USA",40.6711016,-73.9473427,Kings County
885,Brokered by Yoreevo,Co-op for sale,999000,2,1,2184.207862,"139 W 85th St Apartment 3, New York, NY 10024, USA",40.7866659,-73.974142,New York County
886,Brokered by Sold By Bart R E Partners Inc,Co-op for sale,279000,2,1,2184.207862,"8470 129th St Apt 1h, Kew Gardens, NY 11415, USA",40.7069299,-73.82404,Queens County
887,Brokered by Ditommaso Real Estate,Condo for sale,479000,2,2,1008.0,"57 Stone Ln #2, Staten Island, NY 10314, USA",40.5782884,-74.1583011,Richmond County
888,Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,2300000,2,2,1600.0,"242 E 7th St, New York, NY 10009, USA",40.7236159,-73.9781735,New York County
889,Brokered by Signature Premier Properties,Pending,294000,1,2,1074.0,"26910 Grand Central Pkwy #15a, Queens, NY 11005, USA",40.7577991,-73.7159564,Queens County
890,Brokered by Exp Realty,Multi-family home for sale,1390000,6,5,2245.0,"104-30 219th St, Jamaica, NY 11429, USA",40.7111134,-73.7361784,Queens County
891,Brokered by COMPASS,Co-op for sale,450000,3,2,1026.0,"97-10 62nd Dr #8e, Rego Park, NY 11374, USA",40.7323502,-73.8611654,Queens County
892,Brokered by Bond New York- Columbus Circle,Co-op for sale,999000,3,2,2184.207862,"203 W 102nd St #1f, New York, NY 10025, USA",40.7982086,-73.9680164,New York County
893,"Brokered by Robert Defalco Realty, Inc.",House for sale,1999000,4,4,3420.0,"221 Benedict Rd, Staten Island, NY 10304, USA",40.5939144,-74.1059876,Richmond County
894,Brokered by BLACKWATER ASSOCIATES INC,Mobile house for sale,1288000,6,3,2184.207862,"31-50 Buell St, Flushing, NY 11369, USA",40.760908,-73.861558,Queens County
895,NoBroker,Multi-family home for sale,639888,5,3,1376.0,"226 Dover Green, Staten Island, NY 10312, USA",40.5564024,-74.1975285,Richmond County
896,Brokered by COMPASS,House for sale,569900,4,2,2180.0,"69 Sherman Ave, Staten Island, NY 10301, USA",40.6395577,-74.0807615,Richmond County
897,Brokered by Sweet Key Realty Group Inc,House for sale,1630000,7,4,2184.207862,"47-34 Glenwood St, Flushing, NY 11362, USA",40.7704732,-73.7318799,Queens County
898,Brokered by EXIT REALTY ACHIEVE,Multi-family home for sale,689888,3,2,1300.0,"114-31 120th St, Jamaica, NY 11420, USA",40.6780811,-73.8188973,Queens County
899,Brokered by E Realty International Corp,Co-op for sale,378000,2,1,2184.207862,"15010 Melbourne Ave # 368b, Flushing, NY 11367, USA",40.7341999,-73.81974,Queens County
900,Brokered by O Kane Realty,Co-op for sale,149000,1,1,2184.207862,"11250 Northern Blvd Apt 1f, Corona, NY 11368, USA",40.7581299,-73.8569399,Queens County
901,Brokered by Re/Max Edge,House for sale,589000,4,3,1320.0,"92 Arlington Pl, Staten Island, NY 10303, USA",40.63567,-74.166895,Richmond County
902,Brokered by ProBase Real Estate,Pending,958000,3,2,2259.0,"50 Tyndale St, Staten Island, NY 10312, USA",40.5292852,-74.1685622,Richmond County
903,Brokered by East Coast REALTORS Inc,Co-op for sale,195000,1,1,2184.207862,"44-20 Douglaston Pkwy #2a, Flushing, NY 11363, USA",40.7659255,-73.7453922,Queens County
904,Brokered by Comfort Homes Realty Group,House for sale,299000,1,1,608.0,"51 Seafoam St, Staten Island, NY 10306, USA",40.5638362,-74.0989788,Richmond County
905,Brokered by RE MAX 1st Choice,House for sale,1750000,4,4,3645.0,"2-11 147th St, Flushing, NY 11357, USA",40.7968959,-73.822999,Queens County
906,Brokered by Douglas Elliman - Bayside,Townhouse for sale,815000,3,2,2184.207862,"62-14 80th St, Flushing, NY 11379, USA",40.722658,-73.877617,Queens County
907,Brokered by Best American Homes Inc,Multi-family home for sale,989000,5,3,2184.207862,"34-21 83rd St, Flushing, NY 11372, USA",40.7531679,-73.8836878,Queens County
908,Brokered by Corcoran Park Slope,Condo for sale,1075000,2,2,2184.207862,"357 W 30th St, New York, NY 10001, USA",40.7507895,-73.9974127,New York County
909,Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,879000,2,1,1000.0,"1175 York Ave #7b, New York, NY 10065, USA",40.7615369,-73.9579786,New York County
910,Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,999995,2,1,2184.207862,"126 E 12th St #6a, New York, NY 10003, USA",40.7321997,-73.9888999,New York County
911,"Brokered by Robert E. Hill, Inc.",Co-op for sale,430000,2,2,1200.0,"2727 Palisade Ave #5b, Bronx, NY 10463, USA",40.8830657,-73.9206428,Bronx County
912,NoBroker,Co-op for sale,445000,3,2,2184.207862,"138-10 Franklin Ave #1g, Flushing, NY 11355, USA",40.7547252,-73.8255572,Queens County
913,Brokered by RE MAX Real Estate Professionals,House for sale,999000,3,2,1900.0,"1123 Bay Ridge Pkwy, Brooklyn, NY 11228, USA",40.6228038,-74.0109676,Kings County
914,Brokered by Keller Williams Realty Greater Nassau,House for sale,2299000,6,4,2184.207862,"99-07 70th Ave, Flushing, NY 11375, USA",40.7171982,-73.8496941,Queens County
915,Brokered by Tapestry Real Estate of Queens,House for sale,1225000,4,2,1960.0,"36-19 217th St, Flushing, NY 11361, USA",40.7684802,-73.7666662,Queens County
916,Brokered by EXIT REALTY ONE,House for sale,849000,3,2,2184.207862,"85-05 Eliot Ave, Flushing, NY 11374, USA",40.7282284,-73.8732527,Queens County
917,Brokered by Winzone Realty Inc,House for sale,1350000,4,3,1760.0,"75-57 186th St, Flushing, NY 11366, USA",40.7293576,-73.7830175,Queens County
918,"Brokered by NEUHAUS REALTY, INC.",House for sale,1600000,4,4,3150.0,"780 Ionia Ave, Staten Island, NY 10312, USA",40.5364873,-74.1987178,Richmond County
919,Brokered by COMPASS,Condo for sale,600000,3,1,441.0,"1 Central Park W #612, New York, NY 10023, USA",40.7691094,-73.98162,New York County
920,Brokered by Douglas Elliman - 140 Franklin,Co-op for sale,435000,3,1,2184.207862,"269 W 72nd St #12d, New York, NY 10023, USA",40.7799639,-73.9841598,New York County
921,"Brokered by Compass Greater New York, LLC",Pending,4999999,4,4,4342.0,"8002 Harbor View Terrace, Brooklyn, NY 11209, USA",40.6301693,-74.0384351,Kings County
922,"Brokered by Compass Greater New York, LLC",Co-op for sale,329000,1,1,750.0,"302 96th St #4l, Brooklyn, NY 11209, USA",40.61593,-74.0335829,Kings County
923,Brokered by Brown Harris Stevens,Townhouse for sale,10975000,3,4,2184.207862,"12 College Pl, Brooklyn, NY 11201, USA",40.6963652,-73.9941542,Kings County
924,Brokered by Keystone Realty USA Corp,House for sale,599000,4,2,2184.207862,"106-09 169th St, Jamaica, NY 11433, USA",40.7003331,-73.7875164,Queens County
925,Brokered by Chase Global Realty Corp,House for sale,699999,4,2,2184.207862,"18 Pine St, Brooklyn, NY 11208, USA",40.6862137,-73.8740777,Kings County
926,Brokered by Keller Williams Rlty Landmark,Pending,539000,1,1,725.0,"207-7 Estates Dr #1, Bayside, NY 11360, USA",40.7865988,-73.7862803,Queens County
927,Brokered by ETPG - Eastpointe Properties Group,Co-op for sale,370000,3,1,2184.207862,"35 E 30th St #6d, New York, NY 10016, USA",40.7450423,-73.9839731,New York County
928,Brokered by BRPI - Brooklyn Real Property,Townhouse for sale,1499000,9,6,2184.207862,"2619 Shore Pkwy, Brooklyn, NY 11223, USA",40.583514,-73.9738903,Kings County
929,Brokered by Douglas Elliman - 1995 Broadway,Co-op for sale,299000,1,1,2184.207862,"318 W 36th St. #3a, New York, NY 10018, USA",40.7538054,-73.9935323,New York County
930,Brokered by NEUHAUS REALTY INC.,House for sale,2400000,5,4,3800.0,"57 Mace St, Staten Island, NY 10306, USA",40.5752476,-74.1304878,Richmond County
931,Brokered by Avenues - Headquarters,Condo for sale,275000,1,1,850.0,"3202 Nostrand Ave. #6e, Brooklyn, NY 11229, USA",40.6056272,-73.943238,Kings County
932,Brokered by Brown Harris Stevens - 1926 Broadway,Co-op for sale,1395000,3,3,1750.0,"789 West End Ave #1a2, New York, NY 10025, USA",40.7971343,-73.9722076,New York County
933,Brokered by EXIT REALTY TOP PROPERTIES,Condo for sale,568000,2,1,550.0,"1759 Bay Ridge Pkwy #3e, Brooklyn, NY 11204, USA",40.6141211,-73.9966616,Kings County
934,Brokered by Alexiou Realty,Multi-family home for sale,1049000,3,2,2184.207862,"20-46 41st St, Astoria, NY 11105, USA",40.7751162,-73.902397,Queens County
935,Brokered by EXIT REALTY TOP PROPERTIES,Condo for sale,568000,2,1,550.0,"1759 Bay Ridge Pkwy #3e, Brooklyn, NY 11204, USA",40.6141211,-73.9966616,Kings County
936,Brokered by Alexiou Realty,Multi-family home for sale,1049000,3,2,2184.207862,"20-46 41st St, Astoria, NY 11105, USA",40.7751162,-73.902397,Queens County
937,Brokered by E Realty International Corp,House for sale,899000,4,2,1200.0,"22-15 Whitestone Expy, Whitestone, NY 11357, USA",40.7791608,-73.8257555,Queens County
938,Brokered by Keller Williams NYC,Co-op for sale,495000,1,1,2184.207862,"257 W 86th St #8c, New York, NY 10024, USA",40.7885633,-73.9767931,New York County
939,"Brokered by Nest Seekers International, Midtown",House for sale,535000,3,3,1328.0,"1303 College Ave, Bronx, NY 10456, USA",40.8355073,-73.9119966,Bronx County
940,Brokered by Gillani Homes Inc.,House for sale,799999,3,2,1596.0,"364 Mosely Ave, Staten Island, NY 10312, USA",40.5419604,-74.1682869,Richmond County
941,Brokered by COMPASS,Condo for sale,1989000,2,2,1274.0,"406 W 45th St #3d, New York, NY 10036, USA",40.7603978,-73.9919328,New York County
942,Brokered by RE MAX Voyage,House for sale,699000,6,4,2223.0,"873 Fox St, Bronx, NY 10459, USA",40.818678,-73.8954715,Bronx County
943,Brokered by Realty Trends Corp,House for sale,599000,4,4,2100.0,"22-63 Nameoke Ave, Far Rockaway, NY 11691, USA",40.6083635,-73.7565424,Queens County
944,Brokered by GOLDEN REAL CORP.,Co-op for sale,169000,1,1,680.0,"2821 Kings Hwy Apt 1n, Brooklyn, NY 11229, USA",40.6150193,-73.9464928,Kings County
945,Brokered by Elite Real Estate Group 1 Llc,House for sale,749000,3,2,1600.0,"1243 Rhinelander Ave, Bronx, NY 10461, USA",40.8544909,-73.8490394,Bronx County
946,Brokered by RAIMONDO RONALD,House for sale,1099000,5,4,3500.0,"310 Jefferson Blvd, Staten Island, NY 10312, USA",40.5457789,-74.1847061,Richmond County
947,Brokered by EXP Realty,Townhouse for sale,475000,2,2,1364.0,"266 Corona Ave, Staten Island, NY 10306, USA",40.5634891,-74.1422664,Richmond County
948,"Brokered by Weichert, Realtors - Larchmont",Co-op for sale,124900,1,1,676.0,"3535 Kings College Pl #3e, Bronx, NY 10467, USA",40.880833,-73.8758596,Bronx County
949,Brokered by RE/MAX Elite,Contingent,619000,3,2,1943.0,"170 Russek Dr, Staten Island, NY 10312, USA",40.5478529,-74.1993422,Richmond County
950,"Brokered by Neuhaus Realty, Inc.",Contingent,599000,3,1,1008.0,"14 Cascade St, Staten Island, NY 10306, USA",40.5819307,-74.1025463,Richmond County
951,Brokered by Wonica REALTORS & Appraisers,Contingent,689900,3,2,1486.0,"72 Campus Rd, Staten Island, NY 10301, USA",40.6126021,-74.0930021,Richmond County
952,Brokered by Corcoran Williamsburg Bedford,House for sale,5900000,7,8,10100.0,"5020 Grosvenor Ave, Bronx, NY 10471, USA",40.897896,-73.903306,Bronx County
953,Brokered by Exp Realty,Condo for sale,249000,2,1,815.0,"1718 Purdy St, Bronx, NY 10462, USA",40.840962,-73.854142,Bronx County
954,NoBroker,Condo for sale,509000,3,1,2184.207862,"91-10 34th Ave #5j, Jackson Heights, NY 11372, USA",40.7544029,-73.876343,Queens County
955,Brokered by Red Door Realty Group,Townhouse for sale,549000,3,2,1150.0,"51 Forest Ln, Staten Island, NY 10307, USA",40.5032035,-74.2388518,Richmond County
956,Brokered by Brown Harris Stevens,Townhouse for sale,2995000,4,6,2184.207862,"221 MacDonough St, Brooklyn, NY 11233, USA",40.6819529,-73.9373297,Kings County
957,Brokered by Re/Max In The City,Multi-family home for sale,1999000,6,4,3850.0,"6140 Delafield Ave, Bronx, NY 10471, USA",40.9110703,-73.9017893,Bronx County
958,Brokered by Exp Realty,Co-op for sale,269000,1,1,2184.207862,"21-57 33rd St #5e, Astoria, NY 11105, USA",40.7759232,-73.9087334,Queens County
959,"Brokered by Sotheby's International Realty, Inc.",Townhouse for sale,9950000,10,10,2184.207862,"22 E 93rd St, New York, NY 10128, USA",40.7852855,-73.9560385,New York County
960,Brokered by COMPASS,Condo for sale,2200000,3,4,1779.0,"530 E 76th St #27c, New York, NY 10021, USA",40.7685084,-73.9499965,New York County
961,Brokered by PREMIERE REAL ESTATE GROUP INC,House for sale,479000,4,2,1800.0,"140-27 183rd St, Jamaica, NY 11413, USA",40.6714818,-73.7606794,Queens County
962,Brokered by COMPASS,Co-op for sale,60000000,8,8,2184.207862,"960 5th Ave #12, New York, NY 10075, USA",40.7756423,-73.9642465,New York County
