Index,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Location
1,300834409,02/10/2025,263,"ARSON 2,3,4",114.0,ARSON,PL 1501500,F,K,81,71.0,25-44,M,BLACK,1005312.0,190540.0,40.689649,-73.924053,POINT (-73.924053 40.689649)
2,305921788,05/06/2025,263,"ARSON 2,3,4",114.0,ARSON,PL 1501500,F,K,77,71.0,18-24,M,BLACK,1001597.0,185351.0,40.675414,-73.937462,POINT (-73.937462 40.675414)
3,305926378,05/06/2025,263,"ARSON 2,3,4",114.0,ARSON,PL 1501500,F,K,77,71.0,18-24,M,BLACK,1001955.0,185002.0,40.674456,-73.936172,POINT (-73.936172 40.674456)
4,300035164,01/25/2025,203,"TRESPASS 3, CRIMINAL",352.0,CRIMINAL TRESPASS,PL 140100E,M,K,76,2.0,65+,M,BLACK,982515.0,185439.0,40.675673,-74.006255,POINT (-74.006255 40.675673)
5,299220972,01/10/2025,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,14,1.0,45-64,F,BLACK,987220.0,212676.0,40.750432,-73.989281,POINT (-73.989281 40.750432)
6,299756768,01/21/2025,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,113,3.0,18-24,M,BLACK,1042801.0,181715.0,40.665248785062495,-73.78894843635605,POINT (-73.78894843635605 40.665248785062495)
7,299220970,01/10/2025,478,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,M,13,1.0,18-24,M,BLACK,986546.0,207135.0,40.73521404188881,-73.99171521010928,POINT (-73.99171521010928 40.73521404188881)
8,299318859,01/12/2025,478,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,B,41,1.0,25-44,M,BLACK,1014509.0,238113.0,40.820188951147415,-73.8906752472269,POINT (-73.8906752472269 40.820188951147415)
9,299906948,01/23/2025,779,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,77,2.0,45-64,M,BLACK,1003811.0,183892.0,40.671406,-73.929484,POINT (-73.929484 40.671406)
10,299403260,01/14/2025,106,ASSAULT POLICE/PEACE OFFICER,106.0,FELONY ASSAULT,PL 1200800,F,B,41,72.0,25-44,M,BLACK,1017940.0,232184.0,40.803914,-73.878308,POINT (-73.878308 40.803914)
11,299744447,01/20/2025,503,"CONTROLLED SUBSTANCE,INTENT TO",117.0,DANGEROUS DRUGS,PL 2201601,F,M,14,17.0,25-44,M,BLACK HISPANIC,986195.0,213562.0,40.75285463424627,-73.99297988521023,POINT (-73.99297988521023 40.75285463424627)
12,299424495,01/14/2025,203,"TRESPASS 3, CRIMINAL",352.0,CRIMINAL TRESPASS,PL 140100E,M,Q,103,2.0,45-64,M,BLACK,1042057.0,191940.0,40.69333,-73.791543,POINT (-73.791543 40.69333)
13,299853595,01/22/2025,339,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,M,33,3.0,25-44,M,WHITE HISPANIC,1001577.0,248475.0,40.848674,-73.937372,POINT (-73.937372 40.848674)
14,299996575,01/24/2025,782,"WEAPONS, POSSESSION, ETC",236.0,DANGEROUS WEAPONS,PL 2650101,M,Q,107,1.0,25-44,M,WHITE HISPANIC,1037015.0,196456.0,40.70574573592197,-73.80968900790528,POINT (-73.80968900790528 40.70574573592197)
15,299699915,01/19/2025,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",351.0,CRIMINAL MISCHIEF & RELATED OF,PL 1450001,M,K,75,2.0,<18,M,BLACK HISPANIC,1012448.0,182122.0,40.666523,-73.898356,POINT (-73.898356 40.666523)
16,298744643,01/01/2025,209,"BURGLARS TOOLS,UNCLASSIFIED",231.0,BURGLAR'S TOOLS,PL 1403500,M,K,75,1.0,25-44,M,BLACK,1011981.0,185869.0,40.67680075151752,-73.90002424733431,POINT (-73.90002424733431 40.67680075151752)
17,299550640,01/16/2025,475,UNAUTH. SALE OF TRANS. SERVICE,343.0,OTHER OFFENSES RELATED TO THEFT,PL 1651601,M,Q,102,1.0,25-44,M,AMERICAN INDIAN/ALASKAN NATIVE,1032501.0,198800.0,40.712215,-73.825953,POINT (-73.825953 40.712215)
18,298808337,01/02/2025,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,K,88,2.0,25-44,F,BLACK,994949.0,190197.0,40.688726,-73.961422,POINT (-73.961422 40.688726)
19,298970045,01/06/2025,744,BAIL JUMPING 3,359.0,OFFENSES AGAINST PUBLIC ADMINI,PL 2155500,M,Q,102,73.0,45-64,M,WHITE HISPANIC,1032501.0,198800.0,40.712215,-73.825953,POINT (-73.825953 40.712215)
20,300159118,01/28/2025,750,RESISTING ARREST,359.0,OFFENSES AGAINST PUBLIC ADMINI,PL 2053000,M,Q,113,3.0,65+,M,WHITE,1042801.0,181715.0,40.665248785062495,-73.78894843635605,POINT (-73.78894843635605 40.665248785062495)
21,299806834,01/21/2025,661,"LEWDNESS,PUBLIC",361.0,OFF. AGNST PUB ORD SENSBLTY &,PL 24500BI,M,Q,107,1.0,25-44,M,WHITE HISPANIC,1034454.0,197644.0,40.70903,-73.818915,POINT (-73.818915 40.70903)
22,299731669,01/20/2025,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,90,1.0,25-44,M,WHITE HISPANIC,1000513.0,196642.0,40.706407,-73.941343,POINT (-73.941343 40.706407)
23,298764832,01/02/2025,113,"MENACING,UNCLASSIFIED",344.0,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,Q,108,1.0,25-44,F,BLACK,1001596.0,212133.0,40.74891559127928,-73.93739654434637,POINT (-73.93739654434637 40.74891559127928)
24,299806817,01/21/2025,478,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,M,34,1.0,25-44,M,WHITE HISPANIC,1004367.0,254624.0,40.865535719276465,-73.92726840202711,POINT (-73.92726840202711 40.865535719276465)
25,299840520,01/22/2025,268,CRIMINAL MIS 2 & 3,121.0,CRIMINAL MISCHIEF & RELATED OF,PL 1450502,F,M,7,2.0,25-44,M,BLACK,988848.0,200323.0,40.716525,-73.983413,POINT (-73.983413 40.716525)
26,299193847,01/09/2025,511,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,PL 2200300,M,K,60,2.0,25-44,M,WHITE,987061.0,148773.0,40.575031,-73.989882,POINT (-73.989882 40.575031)
27,299543265,01/16/2025,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,14,17.0,25-44,M,BLACK,985802.0,213780.0,40.753463,-73.994399,POINT (-73.994399 40.753463)
28,299498446,01/15/2025,478,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,Q,110,1.0,45-64,M,BLACK,1020176.0,206536.0,40.733497269964126,-73.87036942449794,POINT (-73.87036942449794 40.733497269964126)
29,299664593,01/18/2025,507,"CONTROLLED SUBSTANCE, POSSESSI",117.0,DANGEROUS DRUGS,PL 2200603,F,Q,107,1.0,25-44,M,BLACK,1034418.0,202137.0,40.72135379782999,-73.81901341622611,POINT (-73.81901341622611 40.72135379782999)
30,299314671,01/12/2025,478,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,B,40,1.0,25-44,M,WHITE HISPANIC,1007046.0,236603.0,40.81606683945181,-73.91764392674679,POINT (-73.91764392674679 40.81606683945181)
31,300245064,01/29/2025,503,"CONTROLLED SUBSTANCE,INTENT TO",117.0,DANGEROUS DRUGS,PL 2201601,F,Q,110,2.0,25-44,M,BLACK,1015947.0,210427.0,40.744204,-73.885609,POINT (-73.885609 40.744204)
32,299374731,01/14/2025,339,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,M,14,17.0,45-64,M,BLACK,990513.0,213251.0,40.752009,-73.977394,POINT (-73.977394 40.752009)
33,299509019,01/15/2025,511,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,PL 2200300,M,K,75,2.0,45-64,M,WHITE HISPANIC,1019406.0,184339.0,40.672585,-73.873262,POINT (-73.873262 40.672585)
34,299762978,01/21/2025,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,60,2.0,25-44,M,BLACK,984421.0,148363.0,40.573906,-73.999385,POINT (-73.999385 40.573906)
35,299366784,01/13/2025,273,"TAMPERING 1,CRIMINAL",121.0,CRIMINAL MISCHIEF & RELATED OF,PL 1452000,F,M,30,1.0,25-44,M,BLACK,999539.0,239499.0,40.82403172341445,-73.9447581761541,POINT (-73.9447581761541 40.82403172341445)
36,299615206,01/17/2025,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,7,1.0,25-44,M,BLACK,987521.0,201066.0,40.71855580770046,-73.98820001110087,POINT (-73.98820001110087 40.71855580770046)
37,299879097,01/22/2025,661,"LEWDNESS,PUBLIC",361.0,OFF. AGNST PUB ORD SENSBLTY &,PL 2450301,M,Q,103,1.0,65+,M,BLACK,1039726.0,195270.0,40.70247387178277,-73.79992086969553,POINT (-73.79992086969553 40.70247387178277)
38,299898787,01/23/2025,441,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,Q,103,1.0,25-44,M,BLACK,1041879.0,197083.0,40.707447,-73.792141,POINT (-73.792141 40.707447)
39,299562522,01/16/2025,511,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,PL 2200300,M,Q,114,1.0,25-44,F,BLACK,1000200.0,213983.0,40.75399600052303,-73.94243045893519,POINT (-73.94243045893519 40.75399600052303)
40,298808332,01/02/2025,847,"NY STATE LAWS,UNCLASSIFIED FEL",125.0,OTHER STATE LAWS,VTL05110FE,F,K,60,2.0,25-44,F,WHITE HISPANIC,989372.0,155205.0,40.592685,-73.981557,POINT (-73.981557 40.592685)
41,299904499,01/23/2025,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL05110MU,M,Q,115,3.0,25-44,M,WHITE HISPANIC,1018470.0,220785.0,40.7726138877055,-73.8764526037881,POINT (-73.8764526037881 40.7726138877055)
42,298860129,01/03/2025,792,CRIMINAL POSSESSION WEAPON,118.0,DANGEROUS WEAPONS,PL 265031B,F,K,73,2.0,<18,M,BLACK,1010667.0,180318.0,40.66156852342157,-73.90478322721637,POINT (-73.90478322721637 40.66156852342157)
43,299742525,01/20/2025,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,14,17.0,45-64,M,WHITE,990513.0,213251.0,40.752009,-73.977394,POINT (-73.977394 40.752009)
44,298942321,01/05/2025,847,"NY STATE LAWS,UNCLASSIFIED FEL",125.0,OTHER STATE LAWS,VTL05110FE,F,K,83,2.0,18-24,M,WHITE HISPANIC,1002383.0,193447.0,40.697634,-73.934606,POINT (-73.934606 40.697634)
45,299307581,01/12/2025,199,AGGRAVATED CRIMINAL CONTEMPT,126.0,MISCELLANEOUS PENAL LAW,PL 2155202,F,M,24,2.0,25-44,M,WHITE HISPANIC,993952.0,229422.0,40.79639,-73.964959,POINT (-73.964959 40.79639)
46,299351852,01/13/2025,503,"CONTROLLED SUBSTANCE,INTENT TO",117.0,DANGEROUS DRUGS,PL 2201601,F,M,14,17.0,25-44,M,BLACK,986195.0,213562.0,40.75285463424627,-73.99297988521023,POINT (-73.99297988521023 40.75285463424627)
47,299241833,01/10/2025,511,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,PL 2200300,M,Q,114,2.0,45-64,M,WHITE HISPANIC,999112.0,214335.0,40.754974,-73.946355,POINT (-73.946355 40.754974)
48,299249943,01/11/2025,511,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,PL 2200300,M,M,18,1.0,65+,M,BLACK,989210.0,219405.0,40.768890992016146,-73.98209349413949,POINT (-73.98209349413949 40.768890992016146)
49,299824778,01/21/2025,478,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,K,73,1.0,45-64,M,WHITE HISPANIC,1011878.0,181135.0,40.663807310453066,-73.90041498507392,POINT (-73.90041498507392 40.663807310453066)
50,298713678,01/01/2025,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,23,2.0,45-64,M,BLACK,998828.0,226859.0,40.789349,-73.947353,POINT (-73.947353 40.789349)
51,299980874,01/24/2025,478,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,B,40,1.0,25-44,M,WHITE HISPANIC,1007046.0,236603.0,40.81606683945181,-73.91764392674679,POINT (-73.91764392674679 40.81606683945181)
52,299562481,01/16/2025,109,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,B,40,97.0,18-24,M,BLACK,1007895.0,236433.0,40.815607,-73.914577,POINT (-73.914577 40.815607)
53,299993619,01/24/2025,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",113.0,FORGERY,PL 1702500,F,Q,113,3.0,18-24,F,BLACK HISPANIC,1042801.0,181715.0,40.665248785062495,-73.78894843635605,POINT (-73.78894843635605 40.665248785062495)
54,298725448,01/01/2025,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,30,1.0,25-44,M,WHITE HISPANIC,996945.0,238532.0,40.82138169168691,-73.95413257822179,POINT (-73.95413257822179 40.821381691686916)
55,298991168,01/06/2025,203,"TRESPASS 3, CRIMINAL",352.0,CRIMINAL TRESPASS,PL 140100A,M,Q,113,3.0,25-44,M,ASIAN / PACIFIC ISLANDER,1042614.0,177972.0,40.6549763389238,-73.78965488736549,POINT (-73.78965488736549 40.6549763389238)
56,299442632,01/14/2025,203,"TRESPASS 3, CRIMINAL",352.0,CRIMINAL TRESPASS,PL 140100E,M,B,40,2.0,45-64,M,WHITE HISPANIC,1004904.0,234287.0,40.809725,-73.925391,POINT (-73.925391 40.809725)
57,299008258,01/07/2025,109,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,M,14,1.0,45-64,M,WHITE HISPANIC,990435.0,213295.0,40.75211983767307,-73.97767664192217,POINT (-73.97767664192217 40.75211983767307)
58,299600686,01/17/2025,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1554001,F,B,44,73.0,65+,F,WHITE,1006195.0,240321.0,40.826283,-73.920707,POINT (-73.920707 40.826283)
59,300100707,01/27/2025,478,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,Q,103,17.0,18-24,M,BLACK,1037664.0,194289.0,40.699803,-73.807366,POINT (-73.807366 40.699803)
60,300065284,01/26/2025,792,CRIMINAL POSSESSION WEAPON,118.0,DANGEROUS WEAPONS,PL 265031B,F,K,60,2.0,45-64,M,BLACK,986228.0,148310.0,40.573763,-73.992878,POINT (-73.992878 40.573763)
61,299180822,01/09/2025,339,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,M,14,7.0,25-44,M,WHITE,986319.0,212857.0,40.750929,-73.992531,POINT (-73.992531 40.750929)
62,300084565,01/27/2025,511,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,PL 2200300,M,S,123,17.0,25-44,M,WHITE,914042.0,125825.0,40.511768,-74.252488,POINT (-74.252488 40.511768)
63,299216162,01/10/2025,339,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,Q,115,3.0,25-44,M,WHITE HISPANIC,1018470.0,220785.0,40.7726138877055,-73.8764526037881,POINT (-73.8764526037881 40.7726138877055)
64,298876756,01/04/2025,339,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,M,14,3.0,25-44,M,ASIAN / PACIFIC ISLANDER,986881.0,214802.0,40.756267,-73.990503,POINT (-73.990503 40.756267)
